Release,Date from,Date to,Distinct companies for top 1 committers,Distinct companies for top 2 committers,Distinct companies for top 3 committers,Distinct companies for top 5 committers,Distinct companies for top 10 committers,Distinct companies for top 15 committers,Distinct companies for top 20 committers,Distinct companies for top 25 committers,Distinct companies for top 30 committers,Distinct companies for top 50 committers,Distinct companies for top 100 committers,Distinct companies for top 200 committers,Distinct companies for top 500 committers,Distinct companies for top 1000 committers
2015-12-17,12/17/2015,1/17/2016,1,1,2,2,2,2,2,2,2,2,2,2,2,2
2016-01-17,1/17/2016,2/17/2016,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2016-02-17,2/17/2016,3/17/2016,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2016-03-17,3/17/2016,4/17/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-04-17,4/17/2016,5/17/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-05-17,5/17/2016,6/17/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-06-17,6/17/2016,7/17/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-07-17,7/17/2016,8/17/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-08-17,8/17/2016,9/17/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-09-17,9/17/2016,10/17/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-10-17,10/17/2016,11/17/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-11-17,11/17/2016,12/17/2016,1,1,2,2,2,2,2,2,2,2,2,2,2,2
2016-12-17,12/17/2016,1/17/2017,1,1,2,3,3,3,3,3,3,3,3,3,3,3
2017-01-17,1/17/2017,2/17/2017,1,1,1,2,3,3,3,3,3,3,3,3,3,3
2017-02-17,2/17/2017,3/17/2017,1,1,1,2,4,4,4,4,4,4,4,4,4,4
2017-03-17,3/17/2017,4/17/2017,1,1,2,3,4,4,4,4,4,4,4,4,4,4
2017-04-17,4/17/2017,5/17/2017,1,1,1,3,5,5,5,5,5,5,5,5,5,5
2017-05-17,5/17/2017,6/17/2017,1,1,1,2,4,4,4,4,4,4,4,4,4,4
2017-06-17,6/17/2017,7/17/2017,1,1,1,2,4,4,4,4,4,4,4,4,4,4
2017-07-17,7/17/2017,8/17/2017,1,1,2,2,4,4,4,4,4,4,4,4,4,4
2017-08-17,8/17/2017,9/17/2017,1,1,2,2,3,3,3,3,3,3,3,3,3,3
2017-09-17,9/17/2017,10/17/2017,1,2,2,3,5,5,5,5,5,5,5,5,5,5
2017-10-17,10/17/2017,11/17/2017,1,2,2,3,5,5,5,5,5,5,5,5,5,5
2017-11-17,11/17/2017,12/17/2017,1,2,2,3,4,4,4,4,4,4,4,4,4,4
2017-12-17,12/17/2017,1/17/2018,1,2,3,4,6,6,6,6,6,6,6,6,6,6
2018-01-17,1/17/2018,2/17/2018,1,2,2,3,5,5,5,5,5,5,5,5,5,5
2018-02-17,2/17/2018,3/17/2018,1,2,3,3,6,6,6,6,6,6,6,6,6,6
2018-03-17,3/17/2018,4/17/2018,1,2,2,3,5,5,5,5,5,5,5,5,5,5
