release,date_from,top_contributions_perc 1,top_contributions_perc 2,top_contributions_perc 3,top_contributions_perc 5,top_contributions_perc 10,top_contributions_perc 15,top_contributions_perc 20,top_contributions_perc 25,top_contributions_perc 30,top_contributions_perc 50,top_contributions_perc 100,top_contributions_perc 200,top_contributions_perc 500,top_contributions_perc 1000
2014-01-01,2014-01-01T00:00:00Z,32.8227571115973742,48.5776805251641138,60.8315098468271335,75.7111597374179431,85.7768052516411379,90.5908096280087527,93.6542669584245077,95.8424507658643326,96.9365426695842451,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-02-01,2014-02-01T00:00:00Z,19.1752577319587629,35.8762886597938144,48.4536082474226804,65.7731958762886598,83.0927835051546392,91.1340206185567010,94.8453608247422680,96.7010309278350515,97.7319587628865979,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-03-01,2014-03-01T00:00:00Z,22.6804123711340206,40.9793814432989691,54.1237113402061856,67.0103092783505155,81.9587628865979381,89.1752577319587629,92.5257731958762887,95.1030927835051546,96.3917525773195876,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-04-01,2014-04-01T00:00:00Z,19.9115044247787611,38.0530973451327434,52.6548672566371681,68.3628318584070796,81.6371681415929204,89.1592920353982301,92.4778761061946903,95.1327433628318584,96.6814159292035398,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-05-01,2014-05-01T00:00:00Z,28.6885245901639344,51.6393442622950820,58.1967213114754098,66.3934426229508197,79.5081967213114754,86.6120218579234973,90.1639344262295082,92.8961748633879781,95.0819672131147541,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-06-01,2014-06-01T00:00:00Z,22.0858895705521472,42.5153374233128834,49.2024539877300613,61.1042944785276074,77.4233128834355828,82.6993865030674847,86.3190184049079755,89.0184049079754601,90.9202453987730061,95.8895705521472393,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-07-01,2014-07-01T00:00:00Z,16.3240131578947368,30.7976973684210526,39.3092105263157895,48.8898026315789474,60.3207236842105263,68.9555921052631579,75.4523026315789474,79.9342105263157895,83.6348684210526316,91.6940789473684211,97.9851973684210526,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-08-01,2014-08-01T00:00:00Z,13.7121212121212121,25.6060606060606061,34.5075757575757576,44.2045454545454545,60.6060606060606061,68.8636363636363636,75.6818181818181818,80.7196969696969697,84.1287878787878788,91.5530303030303030,97.6136363636363636,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-09-01,2014-09-01T00:00:00Z,15.1632970451010886,22.5505443234836703,29.5489891135303266,40.4743390357698289,54.7045101088646967,64.2690513219284603,71.3452566096423017,76.9440124416796267,81.2986003110419907,90.5132192846034215,97.7838258164852255,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-10-01,2014-10-01T00:00:00Z,8.7354409317803661,16.2784248474764282,23.5163616195230172,35.0804215196894065,54.4925124792013311,66.7775929007210205,75.7903494176372712,80.8652246256239601,84.4980587909040488,92.4292845257903494,97.8924015529672768,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-11-01,2014-11-01T00:00:00Z,9.0392098174199342,16.3723436096976953,22.2687818018557318,32.8943430110745286,49.0272373540856031,60.6704579467225382,69.0511822807542652,74.5285842562107154,78.8386710565698893,88.3268482490272374,95.9892247829991021,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-12-01,2014-12-01T00:00:00Z,8.7906630245840576,14.5517755152719146,18.7236155947355351,25.9995033523714924,38.7881797864415197,47.5788428110255774,55.1278867643407003,61.4353116463868885,66.2527936429103551,80.2582567668239384,92.5006208095356345,98.3362304444996275,100.0000000000000000,100.0000000000000000
2015-01-01,2015-01-01T00:00:00Z,8.2101372756071806,14.5987328405491024,19.7993664202745512,28.7486800422386484,46.3833157338965153,60.3484688489968321,70.3009503695881732,76.1615628299894403,80.0158394931362196,89.1763463569165787,95.7497360084477297,99.4192185850052798,100.0000000000000000,100.0000000000000000
2015-02-01,2015-02-01T00:00:00Z,8.3662561003950732,12.9676969556123635,17.3367418080409017,25.3776435045317221,38.0897048570764583,48.0827329769927957,55.9377178712526145,62.1426911457122937,67.4413200092958401,79.3864745526376946,90.6112014873344178,97.1647687659772252,100.0000000000000000,100.0000000000000000
2015-03-01,2015-03-01T00:00:00Z,6.2235255783642880,10.3942652329749104,14.0436624307592050,19.7458455522971652,31.4760508308895406,41.6422287390029326,50.0000000000000000,56.9729553600521342,62.3655913978494624,76.7676767676767677,90.6647116324535679,96.9371130661453242,100.0000000000000000,100.0000000000000000
2015-04-01,2015-04-01T00:00:00Z,3.0967127203430205,5.9234556137843418,8.7501985072256630,14.2448785135778942,25.3930443068127680,34.2067651262505955,41.9723677941877084,48.9915832936318882,54.6450690805145307,71.7325710655867874,88.6612672701286327,95.6010798793076068,100.0000000000000000,100.0000000000000000
2015-05-01,2015-05-01T00:00:00Z,4.1162924582613702,8.1606217616580311,12.1185952792170409,19.7466896948762234,32.0811744386873921,40.4289004029936672,47.2078295912492804,53.2239493379389752,58.5348301669545193,74.3235463442717329,89.6660909614277490,95.8549222797927461,100.0000000000000000,100.0000000000000000
2015-06-01,2015-06-01T00:00:00Z,4.8746518105849582,8.6908077994428969,12.4233983286908078,19.1364902506963788,31.1977715877437326,40.7381615598885794,47.9387186629526462,53.8718662952646240,59.0529247910863510,74.3732590529247911,88.4540389972144847,95.2228412256267409,100.0000000000000000,100.0000000000000000
2015-07-01,2015-07-01T00:00:00Z,5.1618659189395871,10.1835330104511853,14.0198827427988784,20.8768799388223298,32.5516186591893959,41.6263063981646699,49.1715523833800663,55.1363752230435891,60.3619678817231710,74.5093041040020393,87.8027020137649758,94.6087178179964313,99.9107825643640071,100.0000000000000000
2015-08-01,2015-08-01T00:00:00Z,3.5802308989492801,5.9929952004150992,8.3798157997146193,12.8032170190686211,22.2856401608509534,30.9378648333117136,38.9025813983655468,45.4922817486055260,51.2647554806070826,68.4135426125308081,84.2910883383058762,92.4244389674406538,98.8455052535996887,100.0000000000000000
2015-09-01,2015-09-01T00:00:00Z,3.5614347494276266,7.0211142203001781,10.2518443144238107,15.3014500127194098,25.5914525566013737,33.3884507758839990,40.3459679470872552,46.5530399389468329,51.5517679979648944,66.5352327651996947,83.8717883490206054,92.2793182396336810,98.6135843296871025,100.0000000000000000
2015-10-01,2015-10-01T00:00:00Z,2.7641498145267440,5.3009453153045351,7.5864544693071676,12.0378126121814048,21.9217422520043078,29.9988033983486897,36.7237046787124566,42.9579992820390092,48.6179250927366280,65.6336005743687926,84.3963144669139643,92.7964580591121216,98.7675002991504128,100.0000000000000000
