Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Quarter from 2015-10,10/1/2015,1/1/2016,38.2%,58.2%,65.5%,78.2%,94.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2016-01,1/1/2016,4/1/2016,64.1%,73.0%,81.7%,88.0%,93.5%,96.1%,98.4%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2016-04,4/1/2016,7/1/2016,49.1%,71.7%,73.8%,77.4%,83.2%,87.5%,91.0%,94.6%,96.4%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2016-07,7/1/2016,10/1/2016,38.3%,75.7%,80.0%,83.5%,91.3%,95.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2016-10,10/1/2016,1/1/2017,28.1%,56.2%,62.2%,70.8%,80.0%,85.9%,90.8%,93.5%,96.2%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2017-01,1/1/2017,4/1/2017,26.9%,46.9%,58.3%,73.5%,87.9%,91.7%,93.8%,95.4%,96.6%,99.3%,100.0%,100.0%,100.0%,100.0%
Quarter from 2017-04,4/1/2017,7/1/2017,30.7%,45.9%,57.1%,74.9%,85.7%,91.8%,95.1%,96.5%,97.5%,99.3%,100.0%,100.0%,100.0%,100.0%
Quarter from 2017-07,7/1/2017,10/1/2017,27.5%,44.4%,57.1%,80.0%,89.5%,92.4%,94.3%,95.7%,96.5%,98.8%,100.0%,100.0%,100.0%,100.0%
Quarter from 2017-10,10/1/2017,1/1/2018,26.0%,41.0%,55.7%,72.1%,87.9%,91.2%,93.7%,95.8%,97.0%,99.4%,100.0%,100.0%,100.0%,100.0%
Quarter from 2018-01,1/1/2018,4/1/2018,29.9%,46.8%,58.0%,74.3%,86.9%,90.4%,92.5%,93.9%,95.1%,97.6%,100.0%,100.0%,100.0%,100.0%
