Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
start - v0.0.5,12/17/2015,2/12/2016,1,2,2,3,6,9,12,13,13,13,13,13,13,13
v0.0.5 - v0.1.0,2/12/2016,3/21/2016,1,2,3,3,5,5,5,5,5,5,5,5,5,5
v0.1.0 - v0.2.0,3/21/2016,4/14/2016,1,1,1,2,4,5,7,7,7,7,7,7,7,7
v0.2.0 - v0.2.9,4/14/2016,5/30/2017,1,1,1,2,6,9,12,13,14,23,35,42,42,42
v0.2.9 - v1.0.0-alpha0,5/30/2017,7/13/2017,1,1,1,2,5,7,10,11,12,14,14,14,14,14
v1.0.0-alpha0 - v1.0.0-alpha6,7/13/2017,8/23/2017,1,1,1,2,6,7,8,9,12,15,15,15,15,15
v1.0.0-alpha6 - v1.0.0-beta.0,8/23/2017,9/6/2017,1,1,1,2,5,7,7,7,7,7,7,7,7,7
v1.0.0-beta.0 - v1.0.0-beta.3,9/6/2017,11/8/2017,1,2,2,3,6,7,9,10,14,17,19,19,19,19
v1.0.0-beta.3 - v1.0.0,11/8/2017,12/5/2017,1,1,2,3,6,8,11,11,11,11,11,11,11,11
v1.0.0 - v1.0.1,12/5/2017,1/17/2018,1,2,3,4,7,10,12,13,16,18,18,18,18,18
v1.0.1 - v1.0.2,1/17/2018,2/13/2018,1,2,2,3,5,6,7,8,9,11,11,11,11,11
v1.0.2 - v1.0.3,2/13/2018,4/2/2018,1,2,2,3,5,7,7,8,8,10,12,12,12,12
v1.0.3 - v1.1.0-rc.1,4/2/2018,4/5/2018,1,2,2,3,5,5,5,5,5,5,5,5,5,5
v1.1.0.rc.1 - now,4/5/2018,4/13/2018,1,2,2,3,6,6,6,6,6,6,6,6,6,6
