Release,Date from,Date to,Top 1 committers commits as percent of all,Top 2 committers commits as percent of all,Top 3 committers commits as percent of all,Top 5 committers commits as percent of all,Top 10 committers commits as percent of all,Top 15 committers commits as percent of all,Top 20 committers commits as percent of all,Top 25 committers commits as percent of all,Top 30 committers commits as percent of all,Top 50 committers commits as percent of all,Top 100 committers commits as percent of all,Top 200 committers commits as percent of all,Top 500 committers commits as percent of all,Top 1000 committers commits as percent of all
12/2015,12/17/2015,1/17/2016,86.2%,96.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2016,1/17/2016,2/17/2016,93.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2016,2/17/2016,3/17/2016,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2016,3/17/2016,4/17/2016,82.8%,91.4%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2016,4/17/2016,5/17/2016,74.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2016,5/17/2016,6/17/2016,78.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2016,6/17/2016,7/17/2016,76.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2016,7/17/2016,8/17/2016,50.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2016,8/17/2016,9/17/2016,85.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2016,9/17/2016,10/17/2016,60.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2016,10/17/2016,11/17/2016,69.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2016,11/17/2016,12/17/2016,39.1%,78.3%,95.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2016,12/17/2016,1/17/2017,44.0%,76.0%,84.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2017,1/17/2017,2/17/2017,41.6%,62.3%,80.5%,98.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2017,2/17/2017,3/17/2017,28.8%,55.0%,71.2%,93.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2017,3/17/2017,4/17/2017,29.7%,53.1%,71.9%,93.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2017,4/17/2017,5/17/2017,32.6%,50.6%,67.4%,89.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2017,5/17/2017,6/17/2017,36.5%,55.7%,70.4%,94.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2017,6/17/2017,7/17/2017,46.8%,61.0%,74.5%,96.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2017,7/17/2017,8/17/2017,30.4%,60.1%,77.5%,97.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2017,8/17/2017,9/17/2017,41.2%,59.7%,73.9%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2017,9/17/2017,10/17/2017,34.1%,59.3%,72.5%,89.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2017,10/17/2017,11/17/2017,28.9%,54.2%,73.5%,95.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2017,11/17/2017,12/17/2017,33.6%,56.6%,73.5%,93.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2017,12/17/2017,1/17/2018,31.2%,56.2%,71.9%,92.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2018,1/17/2018,2/17/2018,28.6%,53.7%,68.0%,87.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2018,2/17/2018,3/17/2018,33.0%,49.5%,65.0%,85.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2018,3/17/2018,4/17/2018,41.8%,57.1%,71.4%,91.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
