date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc
2014-01-01T00:00:00Z,2015-07-11T04:02:31Z,start - v1.0.0,556,34955,13670,7092,14193,25902,62183,915,279,602,525,241,991,232,79,122,198,70,216,62.868705035971225,24.586330935251798,12.755395683453237,25.526978417266186,46.5863309352518,111.83992805755396,"brendandburns,lavalamp,thockin,bgrant0607,smarterclayton","Google,Red Hat",2,11062,31.6464025175225290,"brendandburns,lavalamp,thockin,smarterclayton,bgrant0607","Google,Red Hat",2,4794,35.0694952450621800,"bgrant0607,thockin,brendandburns,lavalamp,erictune",Google,1,2054,28.9622109419063734,"brendandburns,lavalamp,thockin,bgrant0607,smarterclayton","Google,Red Hat",2,4303,30.3177622771788910,"lavalamp,thockin,bgrant0607,smarterclayton,brendandburns","Google,Red Hat",2,11601,44.7880472550382210,"bgrant0607,smarterclayton,thockin,lavalamp,brendandburns","Google,Red Hat",2,21231,34.1427721402955792
2015-07-11T04:02:31Z,2015-09-25T23:41:40Z,v1.0.0 - v1.1.0,76,9778,1753,2492,5533,11689,24727,572,42,431,310,209,743,158,7,101,124,61,177,128.6578947368421,23.06578947368421,32.78947368421053,72.80263157894737,153.80263157894737,325.35526315789474,"mikedanese,thockin,brendandburns,bgrant0607,vishh",Google,1,2287,23.3892411536101452,"mikedanese,thockin,bgrant0607,brendandburns,vishh",Google,1,613,34.9686252139189960,"goltermann,bgrant0607,thockin,erictune,gmarek",Google,1,433,17.3756019261637239,"mikedanese,brendandburns,thockin,vishh,wojtek-t",Google,1,1321,23.8749322248328213,"bgrant0607,thockin,lavalamp,davidopp,smarterclayton","Google,Red Hat",2,3525,30.1565574471725554,"bgrant0607,thockin,smarterclayton,lavalamp,mikedanese","Google,Red Hat",2,5567,22.5138512557123792
2015-09-25T23:41:40Z,2016-03-16T22:01:03Z,v1.1.0 - v1.2.0,172,21650,3155,7123,11372,26768,64029,1105,76,832,546,316,1417,259,10,155,198,82,278,125.87209302325581,18.343023255813954,41.41279069767442,66.11627906976744,155.62790697674419,372.26162790697674,"bryk,gmarek,mwielgus,wojtek-t,ihmccreery",Google,1,3731,17.2332563510392610,"bryk,johndmulhausen,mwielgus,gmarek,piosz",Google,1,1070,33.9144215530903328,"bgrant0607,ihmccreery,thockin,gmarek,justinsb","Google,FathomDB",2,1155,16.2150779166081707,"bryk,gmarek,wojtek-t,mwielgus,mikedanese",Google,1,2070,18.2026028842771720,"bgrant0607,lavalamp,wojtek-t,thockin,bryk",Google,1,5426,20.2704722056186491,"bgrant0607,wojtek-t,lavalamp,thockin,davidopp",Google,1,12897,20.1424354589326711
2016-03-16T22:01:03Z,2016-07-01T19:19:06Z,v1.2.0 - v1.3.0,106,17022,2674,6192,8156,19442,45555,1191,81,918,601,345,1482,278,18,181,209,97,305,160.58490566037736,25.22641509433962,58.41509433962264,76.94339622641509,183.41509433962264,429.7641509433962,"johndmulhausen,bryk,technosophos,eparis,lavalamp","Google,Microsoft,Red Hat",3,2805,16.4786746563271061,"johndmulhausen,bryk,eparis,technosophos,lavalamp","Google,Red Hat,Microsoft",3,996,37.2475691847419596,"technosophos,lavalamp,bgrant0607,bprashanth,fejta","Microsoft,Google",2,875,14.1311369509043928,"eparis,bryk,technosophos,mwielgus,dlorenc","Red Hat,Google,Microsoft",3,1239,15.1912702305051496,"lavalamp,smarterclayton,wojtek-t,thockin,johndmulhausen","Google,Red Hat",2,3221,16.5672255940746837,"bgrant0607,lavalamp,smarterclayton,wojtek-t,bprashanth","Google,Red Hat",2,6895,15.1355504335418725
2016-07-01T19:19:06Z,2016-09-26T18:09:47Z,v1.3.0 - v1.4.0,86,15697,2279,5219,8199,17687,41784,1321,104,1025,625,365,1676,287,16,185,203,95,347,182.52325581395348,26.5,60.68604651162791,95.33720930232558,205.6627906976744,485.86046511627904,"justinsb,pwittrock,dlorenc,bryk,wojtek-t","FathomDB,Google",2,2490,15.8629037395680703,"justinsb,pwittrock,bryk,dlorenc,devin-donnelly","FathomDB,Google",2,709,31.1101360245721808,"justinsb,bprashanth,pwittrock,thockin,dlorenc","FathomDB,Google",2,754,14.4472121095995401,"justinsb,wojtek-t,dlorenc,pwittrock,mikedanese","FathomDB,Google",2,1215,14.8188803512623491,"wojtek-t,thockin,lavalamp,smarterclayton,deads2k","Google,Red Hat",2,2994,16.9276870017526997,"thockin,smarterclayton,lavalamp,wojtek-t,bprashanth","Google,Red Hat",2,5314,12.7177867126172698
2016-09-26T18:09:47Z,2016-12-12T23:29:43Z,v1.4.0 - v1.5.0,77,19077,3240,6128,9709,15030,48154,1565,130,1177,790,454,2075,376,22,241,275,117,437,247.75324675324674,42.077922077922075,79.58441558441558,126.0909090909091,195.19480519480518,625.3766233766233,"fejta,justinsb,technosophos,spxtr,wojtek-t","Google,FathomDB,Microsoft",3,2677,14.0326047072390837,"bogdando,devin-donnelly,technosophos,bryk,mbohlool","Mirantis,Google,Microsoft",3,767,23.6728395061728395,"fejta,justinsb,mikedanese,chrislovecnm,technosophos","Google,FathomDB,CNM Consulting,Microsoft",4,1046,17.0691906005221932,"justinsb,spxtr,wojtek-t,technosophos,fejta","FathomDB,Google,Microsoft",3,1331,13.7089298588938099,"liggitt,wojtek-t,deads2k,ixdy,devin-donnelly","Red Hat,Google",2,1973,13.1270791749833666,"dims,smarterclayton,mikedanese,saad-ali,chrislovecnm","Mirantis,Red Hat,Google,CNM Consulting",4,5425,11.2659384474809985
2016-12-12T23:29:43Z,2017-03-28T16:23:06Z,v1.5.0 - v1.6.0,105,30081,5623,8810,15648,25662,66826,2326,168,1721,1198,656,3092,556,36,336,453,210,611,286.48571428571427,53.55238095238095,83.9047619047619,149.02857142857144,244.4,636.4380952380952,"justinsb,chenopis,spxtr,aledbf,krzyzacy","FathomDB,Google,Soficom",3,4036,13.4171071440444134,"chenopis,justinsb,aledbf,krzyzacy,devin-donnelly","Google,FathomDB,Soficom",3,1220,21.6966032367063845,"justinsb,chrislovecnm,jaredbhatti,technosophos,fejta","FathomDB,CNM Consulting,Google,Microsoft",4,1050,11.9182746878547106,"justinsb,chenopis,spxtr,krzyzacy,aledbf","FathomDB,Google,Soficom",3,2232,14.2638036809815951,"liggitt,deads2k,sttts,justinsb,krzyzacy","Red Hat,Mesosphere,FathomDB,Google",4,3422,13.3348920582963136,"deads2k,liggitt,smarterclayton,justinsb,chrislovecnm","Red Hat,FathomDB,CNM Consulting",3,6929,10.3687187621584413
2017-03-28T16:23:06Z,2017-06-29T22:53:16Z,v1.6.0 - v1.7.0,93,28464,5397,8779,14288,27554,70090,2585,157,1915,1302,759,3614,601,33,367,489,247,680,306.06451612903226,58.03225806451613,94.39784946236558,153.63440860215053,296.2795698924731,753.6559139784946,"chenopis,aledbf,Steve53,krzyzacy,justinsb","Google,Soficom,FathomDB",3,4136,14.5306351883080382,"chenopis,Steve53,krzyzacy,aledbf,justinsb","Google,Soficom,FathomDB",3,1716,31.7954419121734297,"thockin,kargakis,smarterclayton,luxas,aledbf","Google,Red Hat,Independent,Soficom",4,995,11.3338649048866614,"chenopis,Steve53,krzyzacy,aledbf,justinsb","Google,Soficom,FathomDB",3,2068,14.4736842105263158,"liggitt,taotaotheripper,deads2k,sttts,kargakis","Red Hat,Mesosphere",2,3379,12.2631922769833781,"kargakis,liggitt,smarterclayton,thockin,zhaoxpZTE","Red Hat,Google",2,5937,8.4705378798687402
2017-06-29T22:53:16Z,2017-09-28T22:13:57Z,v1.7.0 - v1.8.0,90,31372,5916,8093,17363,32107,77244,2793,182,2047,1422,841,3744,634,39,379,530,268,689,348.5777777777778,65.73333333333333,89.92222222222222,192.92222222222222,356.74444444444447,858.2666666666667,"chenopis,krzyzacy,aledbf,Steve53,taotaotheripper","Google,Soficom",2,4358,13.8913680989417315,"chenopis,krzyzacy,Steve53,aledbf,unguiculus","Google,Soficom,Codecentric AG",3,1765,29.8343475321162948,"luxas,floreks,aledbf,maciaszczykm,zacharysarah","Independent,Fujitsu,Soficom,CNCF",4,690,8.5258865686395651,"chenopis,krzyzacy,aledbf,shyamjvs,Steve53","Google,Soficom",2,2313,13.3214306283476358,"sttts,luxas,liggitt,msau42,taotaotheripper","Mesosphere,Independent,Red Hat,Google",4,4057,12.6358737969913103,"zhaoxpZTE,luxas,krzyzacy,liggitt,dims","Independent,Google,Red Hat,Huawei",4,6837,8.8511729066335249
2017-09-28T22:13:57Z,2017-12-15T20:53:13Z,v1.8.0 - v1.9.0,77,25011,4098,7501,13412,23936,63195,2851,166,2021,1463,817,3881,558,38,308,468,226,631,324.8181818181818,53.22077922077922,97.41558441558442,174.1818181818182,310.85714285714283,820.7142857142857,"aledbf,Steve53,taotaotheripper,mattymo,unguiculus","Soficom,Mirantis,Codecentric AG",3,2873,11.4869457438726960,"Steve53,chenopis,aledbf,unguiculus,taotaotheripper","Google,Soficom,Codecentric AG",3,1040,25.3782332845290386,"chrislovecnm,aledbf,bacongobbler,luxas,irfanurrehman","CNM Consulting,Soficom,Microsoft,Independent,Huawei",5,869,11.5851219837355019,"Steve53,aledbf,taotaotheripper,justinsb,BenTheElder","Soficom,FathomDB,Google",3,1520,11.3331345064121682,"liggitt,sttts,luxas,msau42,taotaotheripper","Red Hat,Mesosphere,Independent,Google",4,3274,13.6781417112299465,"BenTheElder,dims,chrislovecnm,krzyzacy,irfanurrehman","Google,Huawei,CNM Consulting",3,7126,11.2762085608038611
