Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
Quarter from 10/2015,10/1/2015,1/1/2016,1,1,2,3,6,8,8,8,8,8,8,8,8,8
Quarter from 01/2016,1/1/2016,4/1/2016,1,2,2,3,5,6,8,10,10,10,10,10,10,10
Quarter from 04/2016,4/1/2016,7/1/2016,1,1,1,2,5,8,10,13,15,17,17,17,17,17
Quarter from 07/2016,7/1/2016,10/1/2016,1,1,2,4,6,7,9,9,9,9,9,9,9,9
Quarter from 10/2016,10/1/2016,1/1/2017,1,1,2,4,6,7,10,12,15,18,18,18,18,18
Quarter from 01/2017,1/1/2017,4/1/2017,1,1,1,2,6,9,10,12,15,21,22,22,22,22
Quarter from 04/2017,4/1/2017,7/1/2017,1,1,1,2,6,8,10,11,13,23,23,23,23,23
Quarter from 07/2017,7/1/2017,10/1/2017,1,1,1,2,6,8,10,11,11,19,23,23,23,23
Quarter from 10/2017,10/1/2017,1/1/2018,1,1,2,3,6,9,10,13,14,19,21,21,21,21
Quarter from 01/2018,1/1/2018,4/1/2018,1,2,2,3,5,6,9,10,11,14,20,20,20,20
