Release,Date from,Date to,Top 1 committers commits as percent of all,Top 2 committers commits as percent of all,Top 3 committers commits as percent of all,Top 5 committers commits as percent of all,Top 10 committers commits as percent of all,Top 15 committers commits as percent of all,Top 20 committers commits as percent of all,Top 25 committers commits as percent of all,Top 30 committers commits as percent of all,Top 50 committers commits as percent of all,Top 100 committers commits as percent of all,Top 200 committers commits as percent of all,Top 500 committers commits as percent of all,Top 1000 committers commits as percent of all
start - v0.10.0,2014-01-06,2015-01-26,41.9%,60.2%,77.3%,94.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v0.10.0 - v0.20.0,2015-01-26,2016-06-15,25.3%,45.1%,56.6%,76.0%,96.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v0.20.0 - v1.0.0,2016-06-15,2016-07-18,47.5%,66.2%,76.5%,88.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.0.0 - v1.1.0,2016-07-18,2016-09-03,22.5%,41.5%,57.7%,84.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.1.0 - v1.2.0,2016-09-03,2016-10-07,21.6%,39.2%,56.8%,83.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.2.0 - v1.3.0,2016-10-07,2016-11-01,28.7%,49.8%,68.4%,89.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.3.0 - v1.4.0,2016-11-01,2016-11-25,30.4%,56.5%,74.5%,92.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.4.0 - v1.5.0,2016-11-25,2017-01-23,28.8%,49.2%,62.5%,84.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.5.0 - v1.6.0,2017-01-23,2017-04-14,21.4%,42.8%,58.3%,81.5%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.6.0 - v1.7.0,2017-04-14,2017-06-07,20.3%,39.1%,53.6%,69.5%,95.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.7.0 - v1.8.0,2017-06-07,2017-10-06,22.9%,45.3%,65.8%,79.0%,92.8%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.8.0 - v2.0.0,2017-10-06,2017-11-08,27.6%,51.4%,66.7%,83.5%,98.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v2.0.0 - v2.1.0,2017-11-08,2018-01-19,25.4%,40.8%,53.6%,73.4%,93.9%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v2.1.0 - v2.2.0,2018-01-19,2018-03-08,30.7%,54.2%,64.3%,79.3%,93.5%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v2.2.0 - now,2018-03-08,2018-04-12,40.3%,58.2%,69.2%,79.1%,95.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
